Arquitectura,Etapa,Generador,Visto,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
ResNet-50,FT-1,StyleGAN3,True,2024,0.7623809523809524,0.6799477465708688,0.9914285714285714,0.5333333333333333,0.8066640836884929,0.9567755102040816,1041,9,490,560
ResNet-50,FT-1,SDXL,False,42,0.6895238095238095,0.6197352587244284,0.9809523809523809,0.3980952380952381,0.7595870206489675,0.8884526077097507,1030,20,632,418
ResNet-50,FT-1,SDXL,False,123,0.6852380952380952,0.617664851784634,0.9723809523809523,0.3980952380952381,0.7554568997410285,0.9205945578231293,1021,29,632,418
ResNet-50,FT-1,SDXL,False,2024,0.741904761904762,0.6706989247311828,0.9504761904761905,0.5333333333333333,0.7864460204885737,0.9152766439909297,998,52,490,560
ResNet-50,FT-1,Flux,False,42,0.6895238095238095,0.6197352587244284,0.9809523809523809,0.3980952380952381,0.7595870206489675,0.9027260770975057,1030,20,632,418
ResNet-50,FT-1,Flux,False,123,0.689047619047619,0.6195063214930765,0.98,0.3980952380952381,0.7591294725193656,0.9319278911564626,1029,21,632,418
ResNet-50,FT-1,Flux,False,2024,0.7504761904761905,0.6746347941567065,0.9676190476190476,0.5333333333333333,0.7949921752738655,0.9409668934240363,1016,34,490,560
ResNet-50,FT-2,StyleGAN2,True,42,0.6971428571428572,0.6227758007117438,1.0,0.3942857142857143,0.7675438596491229,0.9881868480725623,1050,0,636,414
ResNet-50,FT-2,StyleGAN2,True,123,0.731904761904762,0.6509609423434594,1.0,0.4638095238095238,0.7885843034171987,0.992839909297052,1050,0,563,487
ResNet-50,FT-2,StyleGAN2,True,2024,0.7376190476190476,0.655840099937539,1.0,0.47523809523809524,0.7921539041870992,0.992791836734694,1050,0,551,499
ResNet-50,FT-2,StyleGAN3,True,42,0.6919047619047619,0.6202985074626866,0.9895238095238095,0.3942857142857143,0.7625688073394495,0.9337705215419502,1039,11,636,414
ResNet-50,FT-2,StyleGAN3,True,123,0.7276190476190476,0.649002493765586,0.9914285714285714,0.4638095238095238,0.7844762622456669,0.94040589569161,1041,9,563,487
ResNet-50,FT-2,StyleGAN3,True,2024,0.7342857142857143,0.6543287327478042,0.9933333333333333,0.47523809523809524,0.7889561270801816,0.9495768707482992,1043,7,551,499
ResNet-50,FT-2,SDXL,True,42,0.6957142857142857,0.6221033868092691,0.9971428571428571,0.3942857142857143,0.7661909989023051,0.9747777777777779,1047,3,636,414
ResNet-50,FT-2,SDXL,True,123,0.7295238095238096,0.6498756218905473,0.9952380952380953,0.4638095238095238,0.7863054928517682,0.9774929705215418,1045,5,563,487
ResNet-50,FT-2,SDXL,True,2024,0.7347619047619047,0.6545454545454545,0.9942857142857143,0.47523809523809524,0.789413988657845,0.9772861678004535,1044,6,551,499
ResNet-50,FT-2,Flux,False,42,0.6966666666666667,0.6225519287833828,0.9990476190476191,0.3942857142857143,0.7670932358318099,0.9899814058956916,1049,1,636,414
ResNet-50,FT-2,Flux,False,123,0.7309523809523809,0.6505276225946617,0.9980952380952381,0.4638095238095238,0.787673806839534,0.989585941043084,1048,2,563,487
ResNet-50,FT-2,Flux,False,2024,0.7376190476190476,0.655840099937539,1.0,0.47523809523809524,0.7921539041870992,0.9921727891156462,1050,0,551,499
ResNet-50,FT-3,StyleGAN2,True,42,0.7304761904761905,0.6497524752475248,1.0,0.46095238095238095,0.7876969242310577,0.9884589569160998,1050,0,566,484
